week_start_date,week_end_date,epi_year,epi_week,suspected_cases,confirmed_cases,deaths,
2019-12-30,2020-01-05,2020,1,98,18,2,
2020-01-06,2020-01-12,2020,2,158,64,12,
2020-01-13,2020-01-19,2020,3,159,81,10,
2020-01-20,2020-01-26,2020,4,318,95,19,
2020-01-27,2020-02-02,2020,5,531,104,6,
2020-02-03,2020-02-09,2020,6,482,109,8,
2020-02-10,2020-02-16,2020,7,471,115,18,
2020-02-17,2020-02-23,2020,8,456,102,13,
2020-02-24,2020-03-01,2020,9,421,85,11,
2020-03-02,2020-03-08,2020,10,364,81,9,
2020-03-09,2020-03-15,2020,11,319,51,9,
2020-03-16,2020-03-22,2020,12,279,28,3,
2020-03-23,2020-03-29,2020,13,182,19,1,
2020-03-30,2020-04-05,2020,14,93,12,3,
2020-04-06,2020-04-12,2020,15,99,10,0,
2020-04-13,2020-04-19,2020,16,89,6,0,
2020-04-20,2020-04-26,2020,17,83,8,0,
2020-04-27,2020-05-03,2020,18,64,5,2,
2020-05-04,2020-05-10,2020,19,72,9,1,
2020-05-11,2020-05-17,2020,20,68,6,1,
2020-05-18,2020-05-24,2020,21,80,9,2,
2020-05-25,2020-05-31,2020,22,73,6,0,
2020-06-01,2020-06-07,2020,23,91,5,0,
2020-06-08,2020-06-14,2020,24,74,5,2,
2020-06-15,2020-06-21,2020,25,55,5,2,
2020-06-22,2020-06-28,2020,26,67,4,2,
2020-06-29,2020-07-05,2020,27,52,3,0,
2020-07-06,2020-07-12,2020,28,33,3,0,
2020-07-13,2020-07-19,2020,29,80,5,1,
2020-07-20,2020-07-26,2020,30,26,0,0,
2020-07-27,2020-08-02,2020,31,46,3,1,
2020-08-03,2020-08-09,2020,32,56,6,0,
2020-08-10,2020-08-16,2020,33,33,1,0,
2020-08-17,2020-08-23,2020,34,47,11,3,
2020-08-24,2020-08-30,2020,35,27,2,0,
2020-08-31,2020-09-06,2020,36,46,4,0,
2020-09-07,2020-09-13,2020,37,47,6,0,
2020-09-14,2020-09-20,2020,38,11,4,1,
2020-09-21,2020-09-27,2020,39,41,7,1,
2020-09-28,2020-10-04,2020,40,38,3,0,
2020-10-05,2020-10-11,2020,41,53,5,1,
2020-10-12,2020-10-18,2020,42,94,13,2,
2020-10-19,2020-10-25,2020,43,51,3,2,
2020-10-26,2020-11-01,2020,44,79,11,1,
2020-11-02,2020-11-08,2020,45,98,5,1,
2020-11-09,2020-11-15,2020,46,91,2,1,
2020-11-16,2020-11-22,2020,47,81,10,2,
2020-11-23,2020-11-29,2020,48,133,6,2,
2020-11-30,2020-12-06,2020,49,69,4,1,
2020-12-07,2020-12-13,2020,50,55,5,1,
2020-12-14,2020-12-20,2020,51,78,12,1,
2020-12-21,2020-12-27,2020,52,64,6,1,
2020-12-28,2021-01-03,2020,53,59,8,0,
2021-01-04,2021-01-10,2021,1,109,9,2,
2021-01-11,2021-01-17,2021,2,117,14,2,
2021-01-18,2021-01-24,2021,3,129,17,3,
2021-01-25,2021-01-31,2021,4,153,14,2,
2021-02-01,2021-02-07,2021,5,107,12,1,
2021-02-08,2021-02-14,2021,6,91,17,6,
2021-02-15,2021-02-21,2021,7,113,19,3,
2021-02-22,2021-02-28,2021,8,140,34,6,
2021-03-01,2021-03-07,2021,9,107,25,1,
2021-03-08,2021-03-14,2021,10,145,30,6,
2021-03-15,2021-03-21,2021,11,136,32,4,
2021-03-22,2021-03-28,2021,12,84,7,3,
2021-03-29,2021-04-04,2021,13,78,3,0,
2021-04-05,2021-04-11,2021,14,43,8,1,
2021-04-12,2021-04-18,2021,15,43,6,0,
2021-04-19,2021-04-25,2021,16,59,7,2,
2021-04-26,2021-05-02,2021,17,73,8,3,
2021-05-03,2021-05-09,2021,18,61,10,0,
2021-05-10,2021-05-16,2021,19,61,1,1,
2021-05-17,2021-05-23,2021,20,83,8,0,
2021-05-24,2021-05-30,2021,21,56,5,0,
